,Year,Crash Descriptor,Date,Municipality,Collision Type Descriptor,County Name,Road Descriptor,Weather Conditions,Road Surface Conditions,Event Descriptor,Number of Vehicles Involved
540763,2015,Property Damage & Injury Accident,2015-11-28,NORTH HARMONY,OTHER,CHAUTAUQUA,Curve and Grade,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
540766,2015,Property Damage & Injury Accident,2015-11-27,CHERRY CREEK,OTHER,CHAUTAUQUA,Curve and Grade,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
540776,2015,Property Damage Accident,2015-11-24,CLARENCE,OTHER,ERIE,Straight and Level,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
541005,2015,Injury Accident,2015-11-27,MORRISTOWN,OTHER,ST. LAWRENCE,Straight and Level,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
541052,2015,Property Damage Accident,2015-11-30,NEW CASTLE,OTHER,WESTCHESTER,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
541058,2015,Property Damage Accident,2015-11-30,PLATTEKILL,OTHER,ULSTER,Straight and Level,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
541093,2015,Property Damage & Injury Accident,2015-11-23,SOUTHOLD,OTHER,SUFFOLK,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
541686,2015,Property Damage & Injury Accident,2015-11-14,OWEGO,OTHER,TIOGA,Straight and Level,Cloudy,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
541740,2015,Property Damage Accident,2015-09-30,CARMEL,OTHER,PUTNAM,Curve and Level,Rain,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
541748,2015,Property Damage Accident,2015-10-19,CORNWALL,OTHER,ORANGE,Curve and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
541823,2015,Property Damage Accident,2015-11-13,WOODHULL,OTHER,STEUBEN,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
541892,2015,Property Damage & Injury Accident,2015-12-01,SHANDAKEN,OTHER,ULSTER,Straight and Level,Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
541908,2015,Property Damage Accident,2015-11-28,NAPOLI,OTHER,CATTARAUGUS,Curve and Level,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
541919,2015,Injury Accident,2015-11-29,TAGHKANIC,OTHER,COLUMBIA,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
541938,2015,Property Damage Accident,2015-11-27,AMBOY,OTHER,OSWEGO,Straight and Grade,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
541945,2015,Property Damage & Injury Accident,2015-11-30,NEWFANE,OTHER,NIAGARA,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
541964,2015,Property Damage & Injury Accident,2015-11-27,VICTOR,OTHER,ONTARIO,Curve and Grade,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
542060,2015,Property Damage Accident,2015-11-28,GREENFIELD,OTHER,SARATOGA,Curve and Grade,Cloudy,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
542130,2015,Property Damage Accident,2015-11-30,MAINE,OTHER,BROOME,Straight and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
542175,2015,Property Damage Accident,2015-11-28,HAMBURG,OTHER,ERIE,Straight and Level,Cloudy,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
542202,2015,Property Damage Accident,2015-12-01,HOPE,SIDESWIPE,HAMILTON,Straight and Level,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",2
542214,2015,Property Damage Accident,2015-11-28,DEWITT,OTHER,ONONDAGA,Curve and Level,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
542333,2015,Property Damage & Injury Accident,2015-12-01,WORCESTER,OTHER,OTSEGO,Curve and Grade,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
542334,2015,Property Damage Accident,2015-12-01,MIDDLEFIELD,OTHER,OTSEGO,Curve and Grade,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
542348,2015,Property Damage Accident,2015-11-15,HINSDALE,OTHER,CATTARAUGUS,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
542352,2015,Fatal Accident,2015-10-23,HUMPHREY,OTHER,CATTARAUGUS,Straight and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
542367,2015,Property Damage & Injury Accident,2015-11-20,GOSHEN,OTHER,ORANGE,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
542396,2015,Property Damage & Injury Accident,2015-11-26,HARPERSFIELD,OTHER,DELAWARE,Straight and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
542424,2015,Property Damage & Injury Accident,2015-11-11,PLATTEKILL,OTHER,ULSTER,Straight and Grade,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
542437,2015,Property Damage Accident,2015-11-28,MINISINK,OTHER,ORANGE,Curve and Grade,Cloudy,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
542459,2015,Property Damage Accident,2015-11-21,AMENIA,OTHER,DUTCHESS,Curve and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
542465,2015,Property Damage Accident,2015-11-27,WASHINGTON,OTHER,DUTCHESS,Curve and Level,Cloudy,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
542472,2015,Property Damage Accident,2015-11-06,LANSING,OTHER,TOMPKINS,Curve and Grade,Cloudy,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
542500,2015,Property Damage Accident,2015-11-29,CAPE VINCENT,OTHER,JEFFERSON,Straight and Level,Cloudy,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
542504,2015,Property Damage & Injury Accident,2015-11-27,BIG FLATS,OTHER,CHEMUNG,Straight at Hill Crest,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
542620,2015,Property Damage Accident,2015-11-07,PEEKSKILL,OTHER,WESTCHESTER,Straight and Level,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
543065,2015,Property Damage Accident,2015-11-07,,OTHER,UNKNOWN,Curve and Grade,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
543103,2015,Property Damage Accident,2015-11-22,JEFFERSON,OTHER,SCHOHARIE,Curve and Grade,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
543148,2015,Property Damage Accident,2015-11-15,NEW CASTLE,OTHER,WESTCHESTER,Straight and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
543164,2015,Property Damage & Injury Accident,2015-12-01,AVON,OTHER,LIVINGSTON,Curve and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
543167,2015,Property Damage & Injury Accident,2015-11-28,NEWBURGH,OTHER,ORANGE,Straight and Grade,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
543253,2015,Property Damage Accident,2015-11-28,MONTICELLO,OTHER,SULLIVAN,Straight and Level,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
543275,2015,Property Damage & Injury Accident,2015-12-01,WEBB,OTHER,HERKIMER,Straight and Grade,Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
543280,2015,Property Damage & Injury Accident,2015-12-02,BEDFORD,OTHER,WESTCHESTER,Straight and Level,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
543286,2015,Property Damage Accident,2015-11-22,CHAUTAUQUA,OTHER,CHAUTAUQUA,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
543401,2015,Property Damage Accident,2015-12-01,ISLIP,OTHER,SUFFOLK,Straight and Level,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
543417,2015,Property Damage & Injury Accident,2015-11-27,HUNTINGTON,OTHER,SUFFOLK,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
543504,2015,Property Damage Accident,2015-11-03,OXFORD,OTHER,CHENANGO,Curve at Hill Crest,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
543508,2015,Property Damage Accident,2015-11-04,PITCHER,OTHER,CHENANGO,Curve and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
543509,2015,Property Damage Accident,2015-11-18,LINCKLAEN,OTHER,CHENANGO,Straight and Grade,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
543522,2015,Property Damage & Injury Accident,2015-11-22,PRESTON,OTHER,CHENANGO,Straight at Hill Crest,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
543523,2015,Property Damage & Injury Accident,2015-11-08,NORTH NORWICH,OTHER,CHENANGO,Straight and Level,Fog/Smog/Smoke,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
543569,2015,Property Damage & Injury Accident,2015-11-30,ESPERANCE,OTHER,SCHOHARIE,Straight and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
543598,2015,Property Damage Accident,2015-11-07,LE RAY,OTHER,JEFFERSON,Curve and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
543701,2015,Property Damage Accident,2015-11-11,BARKER,OTHER,BROOME,Straight and Grade,Cloudy,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
543722,2015,Property Damage Accident,2015-11-25,TRIANGLE,OTHER,BROOME,Curve and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
543727,2015,Property Damage Accident,2015-11-22,SALEM,OTHER,WASHINGTON,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
543728,2015,Property Damage Accident,2015-11-28,WHITE CREEK,OTHER,WASHINGTON,Curve and Grade,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
543759,2015,Property Damage Accident,2015-12-01,LA GRANGE,OTHER,DUTCHESS,Curve and Level,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
543911,2015,Injury Accident,2015-11-19,CARMEL,OTHER,PUTNAM,Curve and Level,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
543974,2015,Property Damage Accident,2015-11-07,YONKERS,OTHER,WESTCHESTER,Unknown,Unknown,Unknown,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
544116,2015,Property Damage & Injury Accident,2015-11-09,,OTHER,ORANGE,Straight and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
544145,2015,Property Damage Accident,2015-11-18,BRIGHTON,OTHER,MONROE,Unknown,Unknown,Unknown,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
544176,2015,Property Damage Accident,2015-11-13,WAPPINGER,OTHER,DUTCHESS,Unknown,Unknown,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
544332,2015,Property Damage & Injury Accident,2015-10-24,WAYLAND,OTHER,STEUBEN,Curve at Hill Crest,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
544440,2015,Property Damage Accident,2015-11-05,NISKAYUNA,OTHER,SCHENECTADY,Curve and Grade,Clear,Unknown,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
544661,2015,Property Damage & Injury Accident,2015-11-28,GILBOA,OTHER,SCHOHARIE,Curve and Grade,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
544664,2015,Property Damage Accident,2015-12-01,ESPERANCE,OTHER,SCHOHARIE,Straight and Grade,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
544665,2015,Injury Accident,2015-12-01,KINGSBURY,OTHER,WASHINGTON,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
544694,2015,Property Damage Accident,2015-12-02,NEW BREMEN,OTHER,LEWIS,Curve and Level,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
544732,2015,Property Damage & Injury Accident,2015-07-22,MACEDON,OTHER,WAYNE,Curve and Level,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
544740,2015,Property Damage Accident,2015-12-02,NEWBURGH,OTHER,ORANGE,Curve and Grade,Cloudy,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
544754,2015,Property Damage & Injury Accident,2015-11-18,MACEDON,OTHER,WAYNE,Curve and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
544757,2015,Property Damage Accident,2015-11-16,MACEDON,OTHER,WAYNE,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
544762,2015,Injury Accident,2015-11-19,MACEDON,OTHER,WAYNE,Straight and Level,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
544802,2015,Injury Accident,2015-10-16,MACEDON,OTHER,WAYNE,Straight and Level,Cloudy,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
544803,2015,Property Damage Accident,2015-09-23,MACEDON,OTHER,WAYNE,Straight and Grade,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
544832,2015,Property Damage & Injury Accident,2015-12-02,PATTERSON,OTHER,PUTNAM,Curve and Level,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
544833,2015,Property Damage & Injury Accident,2015-11-29,TICONDEROGA,OTHER,ESSEX,Curve and Level,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
544835,2015,Property Damage Accident,2015-12-01,WILTON,OTHER,SARATOGA,Curve and Grade,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
544845,2015,Property Damage & Injury Accident,2015-12-01,CLIFTON PARK,OTHER,SARATOGA,Curve and Level,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
544854,2015,Property Damage Accident,2015-11-16,BURLINGTON,OTHER,OTSEGO,Curve and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
544898,2015,Property Damage & Injury Accident,2015-11-23,MIDDLEFIELD,OTHER,OTSEGO,Curve and Level,Clear,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
544901,2015,Property Damage Accident,2015-11-14,DECATUR,OTHER,OTSEGO,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
544905,2015,Property Damage Accident,2015-12-01,OTSEGO,OTHER,OTSEGO,Straight and Level,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
544906,2015,Property Damage Accident,2015-12-01,OTSEGO,REAR END,OTSEGO,Straight and Grade,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",2
544910,2015,Property Damage Accident,2015-11-06,DECATUR,OTHER,OTSEGO,Straight and Grade,Cloudy,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
544923,2015,Property Damage Accident,2015-12-01,MIDDLETOWN,OTHER,ORANGE,Straight and Grade,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
544930,2015,Property Damage Accident,2015-12-02,MOUNT PLEASANT,OTHER,WESTCHESTER,Curve and Grade,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
544961,2015,Property Damage Accident,2015-11-20,LAKEWOOD,OTHER,CHAUTAUQUA,Straight and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
544969,2015,Property Damage & Injury Accident,2015-12-02,CHENANGO,OTHER,BROOME,Straight at Hill Crest,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
545047,2015,Property Damage Accident,2015-12-03,MARATHON,OTHER,CORTLAND,Curve and Grade,Cloudy,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
545071,2015,Property Damage Accident,2015-11-30,MANLIUS,OTHER,ONONDAGA,Curve and Grade,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
545120,2015,Property Damage & Injury Accident,2015-11-19,FRANKFORT,OTHER,HERKIMER,Straight and Grade,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
545128,2015,Property Damage Accident,2015-12-02,VERONA,OTHER,ONEIDA,Straight and Level,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
545129,2015,Property Damage & Injury Accident,2015-11-29,VIENNA,OTHER,ONEIDA,Straight and Grade,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
545166,2015,Property Damage Accident,2015-12-02,MEREDITH,OTHER,DELAWARE,Curve and Grade,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
545186,2015,Property Damage & Injury Accident,2015-11-28,PITTSTOWN,OTHER,RENSSELAER,Straight and Level,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
545209,2015,Property Damage Accident,2015-11-24,BRADFORD,OTHER,STEUBEN,Straight and Level,Cloudy,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
545219,2015,Property Damage Accident,2015-12-02,STONY POINT,OTHER,ROCKLAND,Straight and Grade,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
545231,2015,Injury Accident,2015-12-02,STILLWATER,OTHER,SARATOGA,Curve and Level,Fog/Smog/Smoke,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
545261,2015,Property Damage Accident,2015-11-24,WEST ALMOND,OTHER,ALLEGANY,Straight and Grade,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
545273,2015,Property Damage & Injury Accident,2015-11-24,AVOCA,OTHER,STEUBEN,Curve and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
545290,2015,Property Damage & Injury Accident,2015-11-28,ALMA,OTHER,ALLEGANY,Curve and Level,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
545330,2015,Property Damage Accident,2015-11-25,ROCHESTER,OTHER,ULSTER,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
545342,2015,Property Damage Accident,2015-11-17,MARBLETOWN,OTHER,ULSTER,Curve and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
545383,2015,Property Damage Accident,2015-12-03,NEW BREMEN,OTHER,LEWIS,Straight and Grade,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
545391,2015,Property Damage Accident,2015-12-03,CANAJOHARIE,OTHER,MONTGOMERY,Curve and Level,Cloudy,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
545458,2015,Property Damage & Injury Accident,2015-12-02,UNION VALE,OTHER,DUTCHESS,Curve and Level,Cloudy,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
545483,2015,Property Damage & Injury Accident,2015-12-02,AURORA,OTHER,ERIE,Straight and Grade,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
545486,2015,Property Damage & Injury Accident,2015-11-20,AMENIA,OTHER,DUTCHESS,Straight and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
545682,2015,Property Damage Accident,2015-12-01,WASHINGTON,OTHER,DUTCHESS,Straight and Level,Clear,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
545738,2015,Property Damage & Injury Accident,2015-10-29,KENT,OTHER,PUTNAM,Curve and Level,Cloudy,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
545744,2015,Property Damage & Injury Accident,2015-11-23,DAYTON,OTHER,CATTARAUGUS,Curve and Level,Clear,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
545759,2015,Property Damage Accident,2015-12-01,VAN ETTEN,OTHER,CHEMUNG,Straight and Grade,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
545839,2015,Property Damage & Injury Accident,2015-12-01,HORICON,OTHER,WARREN,Curve and Level,Sleet/Hail/Freezing Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
545910,2015,Property Damage Accident,2015-12-05,LIBERTY,OTHER,SULLIVAN,Curve and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
545963,2015,Property Damage & Injury Accident,2015-12-01,STANFORD,OTHER,DUTCHESS,Curve at Hill Crest,Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
545996,2015,Property Damage & Injury Accident,2015-11-25,TONAWANDA,OTHER,ERIE,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
546010,2015,Property Damage & Injury Accident,2015-12-01,SOLON,OTHER,CORTLAND,Curve and Level,Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
546139,2015,Property Damage Accident,2015-12-03,NELSON,OTHER,MADISON,Straight and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
546159,2015,Property Damage & Injury Accident,2015-12-04,ALDEN,OTHER,ERIE,Straight and Level,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
546191,2015,Property Damage Accident,2015-12-01,ULYSSES,OTHER,TOMPKINS,Straight and Level,Cloudy,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
546226,2015,Property Damage & Injury Accident,2015-12-01,CORTLANDT,OTHER,WESTCHESTER,Curve and Grade,Cloudy,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
546253,2015,Fatal Accident,2015-12-05,PALERMO,OTHER,OSWEGO,Curve and Level,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
546254,2015,Property Damage Accident,2015-10-20,GOSHEN,OTHER,ORANGE,Straight and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
546388,2015,Property Damage Accident,2015-11-24,MOREAU,OTHER,SARATOGA,Curve and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
546796,2015,Property Damage Accident,2015-12-05,NEWBURGH,OTHER,ORANGE,Curve and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
546798,2015,Property Damage Accident,2015-12-01,NEW WINDSOR,OTHER,ORANGE,Curve and Grade,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
546814,2015,Property Damage Accident,2015-12-03,CAROLINE,OTHER,TOMPKINS,Straight and Level,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
546832,2015,Property Damage & Injury Accident,2015-12-05,STONY POINT,OTHER,ROCKLAND,Curve and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
546845,2015,Property Damage & Injury Accident,2015-12-05,EAST GREENBUSH,OTHER,RENSSELAER,Straight at Hill Crest,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
546909,2015,Property Damage Accident,2015-12-03,MANLIUS,OTHER,ONONDAGA,Straight and Grade,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
546990,2015,Property Damage Accident,2015-12-02,NEW HARTFORD,OTHER,ONEIDA,Straight and Grade,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
547003,2015,Property Damage & Injury Accident,2015-11-21,GAINES,OTHER,ORLEANS,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
547004,2015,Property Damage & Injury Accident,2015-12-05,WHEATFIELD,OTHER,NIAGARA,Curve and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
547006,2015,Property Damage Accident,2015-12-05,BANGOR,OTHER,FRANKLIN,Curve and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
547082,2015,Property Damage & Injury Accident,2015-12-01,MINERVA,OTHER,ESSEX,Curve and Grade,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
547085,2015,Property Damage Accident,2015-12-05,NEW BALTIMORE,OTHER,GREENE,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
547088,2015,Property Damage Accident,2015-11-12,CAIRO,OTHER,GREENE,Straight and Level,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
547091,2015,Property Damage Accident,2015-12-05,PHILLIPSTOWN,OTHER,PUTNAM,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
547104,2015,Property Damage & Injury Accident,2015-11-27,GREAT VALLEY,OTHER,CATTARAUGUS,Straight and Grade,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
547867,2015,Property Damage Accident,2015-12-07,BEDFORD,OTHER,WESTCHESTER,Straight and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
547951,2015,Property Damage Accident,2015-12-02,GREENFIELD,OTHER,SARATOGA,Curve and Level,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
548002,2015,Property Damage Accident,2015-11-23,JAVA,OTHER,WYOMING,Curve and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
548003,2015,Property Damage Accident,2015-12-05,WASHINGTONVILLE,OTHER,ORANGE,Curve and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
548008,2015,Property Damage Accident,2015-12-05,WALLKILL,OTHER,ORANGE,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
